Date : 2025-03-12 12:29:22
Directory : c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib
Total : 156 files,  4709 codes, 944 comments, 796 blanks, all 6449 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| _Business_Rule\_Domain\Entities\dictionary\sub\example (Files)                                                                                       |          1 |          5 |          0 |          1 |          6 |
| _Business_Rule\_Domain\Entities\dictionary\sub\example\impl                                                                                          |          2 |         23 |          0 |          4 |         27 |
| _Business_Rule\_Domain\Entities\dictionary\sub\idiom                                                                                                 |          3 |         27 |          0 |          5 |         32 |
| _Business_Rule\_Domain\Entities\dictionary\sub\idiom (Files)                                                                                         |          1 |          5 |          0 |          1 |          6 |
| _Business_Rule\_Domain\Entities\dictionary\sub\idiom\impl                                                                                            |          2 |         22 |          0 |          4 |         26 |
| _Business_Rule\_Domain\Entities\verb                                                                                                                 |          3 |         33 |         19 |         12 |         64 |
| _Business_Rule\_Domain\Entities\verb (Files)                                                                                                         |          1 |          9 |          3 |          3 |         15 |
| _Business_Rule\_Domain\Entities\verb\conjugacion                                                                                                     |          2 |         24 |         16 |          9 |         49 |
| _Business_Rule\_Domain\Repository_I                                                                                                                  |          9 |         42 |          2 |         21 |         65 |
| _Framework_Driver                                                                                                                                    |         26 |      1,065 |        196 |        191 |      1,452 |
| _Framework_Driver\Database                                                                                                                           |         21 |        749 |        155 |        151 |      1,055 |
| _Framework_Driver\Database\drift                                                                                                                     |         21 |        749 |        155 |        151 |      1,055 |
| _Framework_Driver\Database\drift (Files)                                                                                                             |          1 |         88 |         52 |         15 |        155 |
| _Framework_Driver\Database\drift\DAO                                                                                                                 |         10 |        437 |         99 |         98 |        634 |
| _Framework_Driver\Database\drift\Entity                                                                                                              |         10 |        224 |          4 |         38 |        266 |
| _Framework_Driver\Repository                                                                                                                         |          5 |        316 |         41 |         40 |        397 |
| _Interface_Adapter                                                                                                                                   |         17 |        496 |         53 |        110 |        659 |
| _Interface_Adapter\Controller                                                                                                                        |          4 |        137 |         12 |         30 |        179 |
| _Interface_Adapter\Presenter                                                                                                                         |          8 |        138 |         19 |         36 |        193 |
| _Interface_Adapter\ViewModel                                                                                                                         |          5 |        221 |         22 |         44 |        287 |
| _View                                                                                                                                                |          7 |        551 |        146 |         73 |        770 |
| _View (Files)                                                                                                                                        |          2 |         70 |          5 |          8 |         83 |
| _View\my_word                                                                                                                                        |          1 |         59 |         66 |         12 |        137 |
| _View\ranking                                                                                                                                        |          1 |        201 |         46 |         21 |        268 |
| _View\word_page                                                                                                                                      |          3 |        221 |         29 |         32 |        282 |
| utils                                                                                                                                                |          1 |          5 |          0 |          2 |          7 |
+------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                             | language | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\Components\bottom_bar.dart                                                                  | Dart     |         36 |          1 |          4 |         41 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\Components\button\my_icon_button.dart                                                       | Dart     |        126 |         62 |          9 |        197 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\Components\conjugacion_card.dart                                                            | Dart     |        116 |          3 |          4 |        123 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\Components\modal\ranking_filter_modal.dart                                                  | Dart     |        254 |         39 |         14 |        307 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\Components\my_word_card.dart                                                                | Dart     |        144 |         22 |         12 |        178 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\Components\ranking_card.dart                                                                | Dart     |        116 |         61 |         10 |        187 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\Components\search_card.dart                                                                 | Dart     |         59 |         11 |          6 |         76 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\Components\word_card_view.dart                                                              | Dart     |         93 |         12 |         10 |        115 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\Constants\Enums\direct-written-db\Database\esp-jap-kotobank\conjugacion.dart                | Dart     |        164 |         16 |         18 |        198 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\Constants\Enums\direct-written-db\Database\esp-jap-kotobank\conjugacion2.dart               | Dart     |          0 |         13 |          2 |         15 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\Constants\Enums\direct-written-db\Database\esp-jap-kotobank\dictionary.dart                 | Dart     |         38 |          0 |          2 |         40 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\Constants\Enums\direct-written-db\Database\esp-jap-kotobank\example.dart                    | Dart     |         26 |          0 |          2 |         28 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\Constants\Enums\direct-written-db\Database\esp-jap-kotobank\idiom.dart                      | Dart     |         23 |          0 |          2 |         25 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\Constants\Enums\direct-written-db\Database\esp-jap-kotobank\part_of_speech_list.dart        | Dart     |         17 |          0 |          2 |         19 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\Constants\Enums\direct-written-db\Database\esp-jap-kotobank\ranking.dart                    | Dart     |         23 |          0 |          2 |         25 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\Constants\Enums\direct-written-db\Database\esp-jap-kotobank\supplement.dart                 | Dart     |         23 |          0 |          2 |         25 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\Constants\Enums\direct-written-db\Database\esp-jap-kotobank\table.dart                      | Dart     |         10 |          1 |          2 |         13 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\Constants\Enums\direct-written-db\Database\esp-jap-kotobank\word.dart                       | Dart     |         20 |          0 |          2 |         22 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\Constants\Enums\feature_tag.dart                                                            | Dart     |         48 |          0 |          6 |         54 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\Constants\Enums\i_enum.dart                                                                 | Dart     |          4 |          0 |          1 |          5 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\Constants\Enums\mood_tense.dart                                                             | Dart     |         93 |         16 |          6 |        115 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\Constants\Enums\mood_tense_subject.dart                                                     | Dart     |         17 |          0 |          6 |         23 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\Constants\Enums\pagenation.dart                                                             | Dart     |          0 |         27 |          1 |         28 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\Constants\Enums\part_of_speech.dart                                                         | Dart     |         57 |         21 |          7 |         85 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\Constants\Enums\subject.dart                                                                | Dart     |          8 |          0 |          1 |          9 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\Constants\Enums\word_card_view_click_listener.dart                                          | Dart     |          5 |          0 |          1 |          6 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\Constants\enviroment.dart                                                                   | Dart     |          2 |          1 |          2 |          5 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\Constants\screen_tab.dart                                                                   | Dart     |         29 |          0 |          3 |         32 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\Constants\tab.dart                                                                          | Dart     |         15 |         16 |          6 |         37 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\Constants\test.dart                                                                         | Dart     |          8 |          1 |          4 |         13 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\Constants\ui.dart                                                                           | Dart     |          3 |          1 |          3 |          7 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\DI\product.dart                                                                             | Dart     |        176 |         75 |         33 |        284 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\Provider\bottom_navigation_provider.dart                                                    | Dart     |          5 |          0 |          2 |          7 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\Usecase\fetch_conjugation\fetch_conjugation_input_data.dart                  | Dart     |          4 |          0 |          1 |          5 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\Usecase\fetch_conjugation\fetch_conjugation_interactor.dart                  | Dart     |         20 |          1 |          5 |         26 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\Usecase\fetch_conjugation\fetch_conjugation_output_data.dart                 | Dart     |          6 |          0 |          2 |          8 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\Usecase\fetch_conjugation\fetch_conjugation_repository_input_data.dart       | Dart     |          4 |          0 |          5 |          9 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\Usecase\fetch_conjugation\i_fetch_conjugation_presenter.dart                 | Dart     |          4 |          0 |          4 |          8 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\Usecase\fetch_conjugation\i_fetch_conjugation_use_case.dart                  | Dart     |          4 |          0 |          2 |          6 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\Usecase\fetch_dictionary\fetch_dictionary_input_data.dart                    | Dart     |          4 |          0 |          1 |          5 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\Usecase\fetch_dictionary\fetch_dictionary_interactor.dart                    | Dart     |         20 |          1 |          4 |         25 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\Usecase\fetch_dictionary\fetch_dictionary_output_data.dart                   | Dart     |          6 |          0 |          2 |          8 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\Usecase\fetch_dictionary\fetch_dictionary_repository_input_data.dart         | Dart     |          4 |          0 |          5 |          9 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\Usecase\fetch_dictionary\i_fetch_dictionary_presenter.dart                   | Dart     |          4 |          0 |          4 |          8 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\Usecase\fetch_dictionary\i_fetch_dictionary_use_case.dart                    | Dart     |          4 |          0 |          2 |          6 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\Usecase\load_my_word\i_load_my_word_presenter.dart                           | Dart     |          4 |          0 |          4 |          8 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\Usecase\load_my_word\i_load_my_word_use_case.dart                            | Dart     |          4 |          0 |          4 |          8 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\Usecase\load_my_word\load_my_word_input_data.dart                            | Dart     |          4 |          0 |          5 |          9 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\Usecase\load_my_word\load_my_word_interactor.dart                            | Dart     |         22 |          1 |          6 |         29 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\Usecase\load_my_word\load_my_word_output_data.dart                           | Dart     |          5 |          0 |          2 |          7 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\Usecase\load_my_word\load_my_word_repository_input_data.dart                 | Dart     |          4 |          0 |          5 |          9 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\Usecase\load_rankings\filtered_ranking_list_input_data.dart                  | Dart     |         17 |          0 |          3 |         20 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\Usecase\load_rankings\i_load_rankings_presenter.dart                         | Dart     |          6 |          0 |          2 |          8 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\Usecase\load_rankings\i_load_rankings_use_case.dart                          | Dart     |          4 |          0 |          2 |          6 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\Usecase\load_rankings\load_rankings_input_data.dart                          | Dart     |         12 |          0 |          3 |         15 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\Usecase\load_rankings\load_rankings_interactor.dart                          | Dart     |         66 |         24 |          9 |         99 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\Usecase\load_rankings\load_rankings_output_data.dart                         | Dart     |          6 |          0 |          2 |          8 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\Usecase\locate_ranking_pagenation\i_locate_ranking_pagenation_presenter.dart | Dart     |          4 |          0 |          2 |          6 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\Usecase\locate_ranking_pagenation\i_locate_ranking_pagenation_use_case.dart  | Dart     |          4 |          0 |          2 |          6 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\Usecase\locate_ranking_pagenation\locate_ranking_pagenation_input_data.dart  | Dart     |          4 |          0 |          1 |          5 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\Usecase\locate_ranking_pagenation\locate_ranking_pagenation_interactor.dart  | Dart     |         15 |          0 |          3 |         18 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\Usecase\locate_ranking_pagenation\locate_ranking_pagenation_output_data.dart | Dart     |          4 |          0 |          1 |          5 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\Usecase\search_word\i_search_word_presenter.dart                             | Dart     |          4 |          0 |          2 |          6 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\Usecase\search_word\i_search_word_use_case.dart                              | Dart     |          5 |          0 |          2 |          7 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\Usecase\search_word\search_word_input_data.dart                              | Dart     |          6 |          0 |          2 |          8 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\Usecase\search_word\search_word_interactor.dart                              | Dart     |         23 |          5 |          7 |         35 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\Usecase\search_word\search_word_output_data.dart                             | Dart     |          5 |          0 |          2 |          7 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\Usecase\update_ranking_filter\i_update_ranking_filter_presenter.dart         | Dart     |          7 |          0 |          3 |         10 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\Usecase\update_ranking_filter\i_update_ranking_filter_use_case.dart          | Dart     |          4 |          0 |          2 |          6 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\Usecase\update_ranking_filter\update_ranking_filter_input_data.dart          | Dart     |          6 |          0 |          2 |          8 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\Usecase\update_ranking_filter\update_ranking_filter_interactor.dart          | Dart     |         38 |         19 |          5 |         62 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\Usecase\update_ranking_filter\update_ranking_filter_output_data.dart         | Dart     |         18 |          0 |          6 |         24 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\Usecase\update_status\i_update_status_presenter.dart                         | Dart     |          4 |          0 |          4 |          8 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\Usecase\update_status\i_update_status_use_case.dart                          | Dart     |          4 |          0 |          4 |          8 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\Usecase\update_status\update_status_input_data.dart                          | Dart     |          7 |          0 |          2 |          9 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\Usecase\update_status\update_status_interactor.dart                          | Dart     |         27 |          0 |          5 |         32 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\Usecase\update_status\update_status_output_data.dart                         | Dart     |         13 |          0 |          1 |         14 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\Usecase\update_status\update_status_repository_input_data.dart               | Dart     |          6 |          0 |          2 |          8 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\_Domain\Entities\dictionary\esj_dictionary.dart                              | Dart     |         18 |          0 |          3 |         21 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\_Domain\Entities\dictionary\sub\example\i_example.dart                       | Dart     |          5 |          0 |          1 |          6 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\_Domain\Entities\dictionary\sub\example\impl\example.dart                    | Dart     |         11 |          0 |          2 |         13 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\_Domain\Entities\dictionary\sub\example\impl\solo_example.dart               | Dart     |         12 |          0 |          2 |         14 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\_Domain\Entities\dictionary\sub\idiom\i_idiom.dart                           | Dart     |          5 |          0 |          1 |          6 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\_Domain\Entities\dictionary\sub\idiom\impl\idiom.dart                        | Dart     |         11 |          0 |          2 |         13 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\_Domain\Entities\dictionary\sub\idiom\impl\solo_idiom.dart                   | Dart     |         11 |          0 |          2 |         13 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\_Domain\Entities\dictionary\sub\supplement.dart                              | Dart     |          9 |          0 |          2 |         11 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\_Domain\Entities\my_word.dart                                                | Dart     |         12 |          0 |          2 |         14 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\_Domain\Entities\ranking.dart                                                | Dart     |         15 |          0 |          2 |         17 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\_Domain\Entities\verb\conjugacion\conjugacions.dart                          | Dart     |         11 |          5 |          5 |         21 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\_Domain\Entities\verb\conjugacion\tense_conjugacion.dart                     | Dart     |         13 |         11 |          4 |         28 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\_Domain\Entities\verb\participles.dart                                       | Dart     |          9 |          3 |          3 |         15 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\_Domain\Entities\word.dart                                                   | Dart     |         15 |          0 |          3 |         18 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\_Domain\Repository_I\i_conjugation_repository.dart                           | Dart     |          4 |          2 |          2 |          8 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\_Domain\Repository_I\i_esj_dictionary_repository.dart                        | Dart     |          4 |          0 |          2 |          6 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\_Domain\Repository_I\i_esj_word_repository.dart                              | Dart     |          6 |          0 |          2 |          8 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\_Domain\Repository_I\i_esp_ranking_repository.dart                           | Dart     |          7 |          0 |          2 |          9 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\_Domain\Repository_I\i_fetch_conjugation_repository.dart                     | Dart     |          5 |          0 |          3 |          8 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\_Domain\Repository_I\i_fetch_dictionary_repository.dart                      | Dart     |          5 |          0 |          3 |          8 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\_Domain\Repository_I\i_load_my_word_repository.dart                          | Dart     |          6 |          0 |          2 |          8 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\_Domain\Repository_I\i_load_rankings_repository.dart                         | Dart     |          0 |          0 |          2 |          2 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Business_Rule\_Domain\Repository_I\i_update_status_repository.dart                         | Dart     |          5 |          0 |          3 |          8 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Framework_Driver\Database\drift\DAO\conjugation_dao.dart                                   | Dart     |         19 |          0 |          6 |         25 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Framework_Driver\Database\drift\DAO\dictionary_dao.dart                                    | Dart     |         26 |          3 |          5 |         34 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Framework_Driver\Database\drift\DAO\example_dao.dart                                       | Dart     |         25 |          0 |          7 |         32 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Framework_Driver\Database\drift\DAO\idiom_dao.dart                                         | Dart     |         24 |          0 |          7 |         31 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Framework_Driver\Database\drift\DAO\my_word_dao.dart                                       | Dart     |         23 |          0 |          7 |         30 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Framework_Driver\Database\drift\DAO\part_of_speech_list_dao.dart                           | Dart     |         26 |          0 |          7 |         33 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Framework_Driver\Database\drift\DAO\ranking_dao.dart                                       | Dart     |        224 |         80 |         36 |        340 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Framework_Driver\Database\drift\DAO\supplement_dao.dart                                    | Dart     |         25 |          0 |          7 |         32 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Framework_Driver\Database\drift\DAO\word_dao.dart                                          | Dart     |         21 |          0 |          7 |         28 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Framework_Driver\Database\drift\DAO\word_status_dao.dart                                   | Dart     |         24 |         16 |          9 |         49 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Framework_Driver\Database\drift\Entity\conjugations.dart                                   | Dart     |        108 |          0 |          4 |        112 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Framework_Driver\Database\drift\Entity\dictionaries.dart                                   | Dart     |         19 |          0 |          4 |         23 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Framework_Driver\Database\drift\Entity\examples.dart                                       | Dart     |         14 |          0 |          4 |         18 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Framework_Driver\Database\drift\Entity\idioms.dart                                         | Dart     |         13 |          0 |          4 |         17 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Framework_Driver\Database\drift\Entity\my_words.dart                                       | Dart     |          8 |          3 |          3 |         14 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Framework_Driver\Database\drift\Entity\part_of_speech_lists.dart                           | Dart     |         11 |          0 |          4 |         15 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Framework_Driver\Database\drift\Entity\rankings.dart                                       | Dart     |         14 |          1 |          4 |         19 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Framework_Driver\Database\drift\Entity\supplements.dart                                    | Dart     |         15 |          0 |          4 |         19 |
| c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\_Framework_Driver\Database\drift\Entity\word_status.dart                                    | Dart     |         12 |          0 |          4 |         16 |
